date_time,file_type,encoded_id,badge_type,value,times_achieved,name,short_name,earned_message,description,category,share_text,unit
2019-04-14,badge,228TPW,DAILY_STEPS,35000,2,"Hiking Boot (35,000 steps in a day)",Hiking Boot,Congrats on earning your first Hiking Boot badge!,"35,000 steps in a day",Daily Steps,"I took 35,000 steps and earned the Hiking Boot badge! #Fitbit",NA
2019-04-14,badge,228TM5,DAILY_STEPS,30000,2,"Trail Shoe (30,000 steps in a day)",Trail Shoe,Congrats on earning your first Trail Shoe badge!,"30,000 steps in a day",Daily Steps,"I took 30,000 steps and earned the Trail Shoe badge! #Fitbit",NA
2019-04-14,badge,228TLX,DAILY_STEPS,25000,8,"Classics (25,000 steps in a day)",Classics,Congrats on earning your first Classics badge!,"25,000 steps in a day",Daily Steps,"I took 25,000 steps and earned the Classics badge! #Fitbit",NA
2019-04-14,badge,228TPP,DAILY_STEPS,20000,27,"High Tops (20,000 steps in a day)",High Tops,Congrats on earning your first High Tops badge!,"20,000 steps in a day",Daily Steps,"I took 20,000 steps and earned the High Tops badge! #Fitbit",NA
2019-04-14,badge,228TMK,DAILY_STEPS,15000,137,"Urban Boot (15,000 steps in a day)",Urban Boot,Congrats on earning your first Urban Boot badge!,"15,000 steps in a day",Daily Steps,"I took 15,000 steps and earned the Urban Boot badge! #Fitbit",NA
2019-04-14,badge,228TQB,DAILY_STEPS,10000,474,"Sneakers (10,000 steps in a day)",Sneakers,Congrats on earning your first Sneakers badge!,"10,000 steps in a day",Daily Steps,"I took 10,000 steps and earned the Sneakers badge! #Fitbit",NA
2019-04-16,badge,228TQ4,DAILY_STEPS,5000,967,"Boat Shoe (5,000 steps in a day)",Boat Shoe,Congrats on earning your first Boat Shoe badge!,"5,000 steps in a day",Daily Steps,"I took 5,000 steps and earned the Boat Shoe badge! #Fitbit",NA
2016-03-05,badge,228TC9,DAILY_FLOORS,200,1,Castle (200 floors in a day),Castle,Congrats on earning your first Castle badge!,200 floors in a day,Daily Climb,I climbed 200 flights of stairs and earned the Castle badge! #Fitbit,NA
2016-03-05,badge,229849,DAILY_FLOORS,175,2,Bridge (175 floors in a day),Bridge,Congrats on earning your first Bridge badge!,175 floors in a day,Daily Climb,I climbed 175 flights of stairs and earned the Bridge badge! #Fitbit,NA
2016-03-05,badge,228TC3,DAILY_FLOORS,150,2,Stadium (150 floors in a day),Stadium,Congrats on earning your first Stadium badge!,150 floors in a day,Daily Climb,I climbed 150 flights of stairs and earned the Stadium badge! #Fitbit,NA
2016-03-05,badge,229844,DAILY_FLOORS,125,4,Rollercoaster (125 floors in a day),Rollercoaster,Congrats on earning your first Rollercoaster badge!,125 floors in a day,Daily Climb,I climbed 125 flights of stairs and earned the Rollercoaster badge! #Fitbit,NA
2016-03-05,badge,228TSL,DAILY_FLOORS,100,4,Skyscraper (100 floors in a day),Skyscraper,Congrats on earning your first Skyscraper badge!,100 floors in a day,Daily Climb,I climbed 100 flights of stairs and earned the Skyscraper badge! #Fitbit,NA
